Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
LTR/Copia	Copia-29_MN-I	No_ref_available	1	1	0	463	0.00
LTR/Copia	Copia-29_PX-I	No_ref_available	3	1	0	1226	0.00
LTR/Copia	Copia-2_GR-I	4696	4	3	0	2624	0.00
LTR/Copia	Copia-2_PTri-I	No_ref_available	1	1	0	718	0.00
LTR/Copia	Copia-30_GR-I	No_ref_available	15	8	0	20261	0.03
LTR/Copia	Copia-30_TC-I	No_ref_available	1	1	0	923	0.00
LTR/Copia	Copia-31_ECa-I	No_ref_available	1	1	0	64	0.00
LTR/Copia	Copia-32_GR-I	5011	3	3	0	9113	0.02
LTR/Copia	Copia-33_GM-I	No_ref_available	6	6	0	4109	0.01
LTR/Copia	Copia-33_GR-I	569	40	19	9	49431	0.08
LTR/Copia	Copia-33_RC-I	No_ref_available	1	1	0	454	0.00
LTR/Copia	Copia-34_GR-I	454	13	10	1	25960	0.04
LTR/Copia	Copia-34_RC-I	No_ref_available	3	3	0	104	0.00
LTR/Copia	Copia-35_FV-I	No_ref_available	1	1	0	300	0.00
LTR/Copia	Copia-35_GR-I	5362	22	11	2	32617	0.06
LTR/Copia	Copia-35_JC-I	No_ref_available	1	1	0	84	0.00
LTR/Copia	Copia-35_ST-I	No_ref_available	1	1	0	88	0.00
LTR/Copia	Copia-36_GR-I	5053	19	12	0	44661	0.08
LTR/Copia	Copia-36_MN-I	No_ref_available	1	1	0	1485	0.00
LTR/Copia	Copia-36_Sit-I	No_ref_available	2	1	0	1071	0.00
LTR/Copia	Copia-37_GR-I	4782	15	7	0	10647	0.02
LTR/Copia	Copia-37_JC-I	No_ref_available	2	1	0	786	0.00
LTR/Copia	Copia-38_ECa-I	No_ref_available	2	2	0	742	0.00
LTR/Copia	Copia-38_GR-I	No_ref_available	6	6	0	9285	0.02
LTR/Copia	Copia-38_JC-I	No_ref_available	1	1	0	260	0.00
LTR/Copia	Copia-38_MN-I	No_ref_available	5	1	0	4145	0.01
LTR/Copia	Copia-38_VV-I	No_ref_available	1	1	0	1266	0.00
LTR/Copia	Copia-39_ECa-I	No_ref_available	1	1	0	750	0.00
LTR/Copia	Copia-39_GR-I	4893	20	10	0	18584	0.03
LTR/Copia	Copia-3_AIp-I	No_ref_available	1	1	0	128	0.00
LTR/Copia	Copia-3_Cia-I	No_ref_available	1	1	0	3982	0.01
LTR/Copia	Copia-40_GM-I	No_ref_available	1	1	0	463	0.00
LTR/Copia	Copia-40_GR-I	4976	10	7	0	21339	0.04
LTR/Copia	Copia-41_GR-I	4991	51	30	5	89822	0.15
LTR/Copia	Copia-41_RC-I	No_ref_available	3	1	0	2191	0.00
LTR/Copia	Copia-42_ATr-I	No_ref_available	1	1	0	35	0.00
LTR/Copia	Copia-42_GR-I	5049	17	13	0	39367	0.07
LTR/Copia	Copia-43_GR-I	No_ref_available	7	4	0	11330	0.02
LTR/Copia	Copia-44_GR-I	5274	8	6	0	18224	0.03
LTR/Copia	Copia-44_RC-I	No_ref_available	1	1	0	374	0.00
LTR/Copia	Copia-45_GR-I	5324	57	23	0	64867	0.11
LTR/Copia	Copia-45_JC-I	No_ref_available	1	1	0	145	0.00
LTR/Copia	Copia-46_GR-I	No_ref_available	10	6	0	24507	0.04
LTR/Copia	Copia-46_RC-I	No_ref_available	4	2	0	2417	0.00
LTR/Copia	Copia-47_GR-I	413	176	109	13	132227	0.22
LTR/Copia	Copia-47_MN-I	No_ref_available	12	6	0	9936	0.02
LTR/Copia	Copia-48_GR-I	4792	2	2	0	7510	0.01
LTR/Copia	Copia-49_ST-I	No_ref_available	1	1	0	52	0.00
LTR/Copia	Copia-4_GM-I	No_ref_available	1	1	0	375	0.00
LTR/Copia	Copia-4_GR-I	No_ref_available	1	1	0	111	0.00
LTR/Copia	Copia-4_JC-I	No_ref_available	2	1	0	3941	0.01
LTR/Copia	Copia-51_JC-I	No_ref_available	2	2	0	2922	0.00
LTR/Copia	Copia-52_GR-I	5257	17	10	0	26478	0.05
LTR/Copia	Copia-52_MN-I	No_ref_available	2	2	0	244	0.00
LTR/Copia	Copia-52_NS-I	No_ref_available	2	2	0	102	0.00
LTR/Copia	Copia-52_ST-I	No_ref_available	3	2	0	5119	0.01
LTR/Copia	Copia-53_GR-I	1899	890	542	369	607156	1.03
LTR/Copia	Copia-54_GR-I	2390	446	305	242	539276	0.92
LTR/Copia	Copia-55_GR-I	4774	28	17	0	25932	0.04
LTR/Copia	Copia-56_GR-I	5826	305	124	0	209946	0.36
LTR/Copia	Copia-56_VV-I	No_ref_available	1	1	0	376	0.00
LTR/Copia	Copia-57B_NS-I	No_ref_available	1	1	0	435	0.00
LTR/Copia	Copia-57_GR-I	6052	19	16	0	14440	0.02
LTR/Copia	Copia-58_GR-I	4811	38	26	0	70626	0.12
LTR/Copia	Copia-58_NS-I	No_ref_available	15	9	0	12327	0.02
LTR/Copia	Copia-59_GR-I	4918	6	6	0	5320	0.01
LTR/Copia	Copia-59_NS-I	No_ref_available	1	1	0	45	0.00
LTR/Copia	Copia-59_ZM-I	No_ref_available	4	1	0	1397	0.00
LTR/Copia	Copia-5_AIp-I	No_ref_available	1	1	0	384	0.00
LTR/Copia	Copia-5_ATr-I	No_ref_available	8	4	0	1674	0.00
LTR/Copia	Copia-5_CP-I	No_ref_available	2	2	0	1029	0.00
LTR/Copia	Copia-60_GM-I	No_ref_available	1	1	0	1325	0.00
LTR/Copia	Copia-61_BD-I	No_ref_available	2	2	0	411	0.00
LTR/Copia	Copia-61_NS-I	No_ref_available	4	1	0	1276	0.00
LTR/Copia	Copia-62_NS-I	No_ref_available	1	1	0	70	0.00
LTR/Copia	Copia-63_MN-I	No_ref_available	3	1	0	1973	0.00
LTR/Copia	Copia-63_ST-I	No_ref_available	1	1	0	166	0.00
LTR/Copia	Copia-66_NS-I	No_ref_available	27	12	0	20278	0.03
LTR/Copia	Copia-66_ZM-I	No_ref_available	1	1	0	683	0.00
LTR/Copia	Copia-67_PT-I	No_ref_available	3	1	0	1694	0.00
LTR/Copia	Copia-68_MN-I	No_ref_available	2	1	0	2935	0.00
LTR/Copia	Copia-68_NS-I	No_ref_available	1	1	0	679	0.00
LTR/Copia	Copia-6_GR-I	4763	20	11	0	27945	0.05
LTR/Copia	Copia-70_NS-I	No_ref_available	86	41	0	27537	0.05
LTR/Copia	Copia-71_MN-I	No_ref_available	25	10	0	9087	0.02
LTR/Copia	Copia-71_VV-I	No_ref_available	6	4	0	5335	0.01
LTR/Copia	Copia-78_MN-I	No_ref_available	1	1	0	359	0.00
LTR/Copia	Copia-79_GM-I	No_ref_available	2	2	0	3962	0.01
LTR/Copia	Copia-79_VV-I	No_ref_available	14	11	0	10272	0.02
LTR/Copia	Copia-7_GR-I	No_ref_available	4	2	0	1452	0.00
LTR/Copia	Copia-82_GM-I	No_ref_available	5	4	0	8609	0.01
LTR/Copia	Copia-82_MN-I	No_ref_available	3	2	0	3140	0.01
LTR/Copia	Copia-85_MN-I	No_ref_available	1	1	0	39	0.00
LTR/Copia	Copia-85_ST-I	No_ref_available	4	4	0	1154	0.00
LTR/Copia	Copia-86_MN-I	No_ref_available	4	2	0	7616	0.01
LTR/Copia	Copia-86_ST-I	No_ref_available	2	2	0	2178	0.00
LTR/Copia	Copia-88_VV-I	No_ref_available	2	2	0	245	0.00
LTR/Copia	Copia-89_VV-I	No_ref_available	3	3	0	308	0.00
LTR/Copia	Copia-8_ALY-I	No_ref_available	3	2	0	3013	0.01
LTR/Copia	Copia-8_CP-I	No_ref_available	3	2	0	355	0.00
LTR/Copia	Copia-8_GR-I	4833	1	1	0	297	0.00
LTR/Copia	Copia-92_VV-I	No_ref_available	4	1	0	1905	0.00
LTR/Copia	Copia-93_ST-I	No_ref_available	3	3	0	2019	0.00
LTR/Copia	Copia-93_VV-I	No_ref_available	6	3	0	7784	0.01
LTR/Copia	Copia-94_VV-I	No_ref_available	1	1	0	946	0.00
LTR/Copia	Copia-9_ECa-I	No_ref_available	1	1	0	393	0.00
LTR/Copia	Copia-9_GR-I	No_ref_available	14	8	0	29171	0.05
LTR/Copia	Copia-9_Pru-I	No_ref_available	1	1	0	3184	0.01
LTR/Copia	Copia1-VV_I-int	No_ref_available	1	1	0	49	0.00
LTR/Copia	Copia15-VV_I-int	No_ref_available	17	13	0	34384	0.06
LTR/Copia	Copia18-PTR_I-int	No_ref_available	1	1	0	2117	0.00
LTR/Copia	Copia1A-VV_I-int	No_ref_available	3	1	0	2082	0.00
LTR/Copia	Copia26-VV_I-int	No_ref_available	1	1	0	80	0.00
LTR/Copia	Copia28-PTR_I-int	No_ref_available	1	1	0	4021	0.01
LTR/Copia	Copia39-PTR_I-int	No_ref_available	1	1	0	337	0.00
LTR/Copia	Copia4-VV_I-int	No_ref_available	1	1	0	575	0.00
LTR/Copia	Copia41-PTR_I-int	No_ref_available	1	1	0	165	0.00
LTR/Copia	Copia42-PTR_I-int	No_ref_available	7	3	0	1422	0.00
